T;HR;PPM_CO_1;PPM_CO_2
23.3;64.7;1.85;6.74
23.3;64.3;2.12;6.34
23.4;63.8;2.48;5.83
23.5;63.7;3.05;6
23.5;63.4;2.08;5.57
23.5;63.3;1.98;5.9
23.5;63.3;2.18;5.14
23.5;63.4;2.28;5.24
23.6;63.1;2.48;4.93
23.7;62.8;3.05;5.28
23.8;62.8;2.25;5.02
23.9;62.7;2.15;5.52
24;62.6;2.52;4.87
24;62.6;2.62;4.92
24;62.9;2.99;4.67
24;63;3.39;5.07
24;62.9;2.76;4.82
24;63;2.83;5.37
24;63;3.73;4.87
24;63;4.01;4.92
23.8;63.3;4.38;4.72
23.8;63.2;4.96;5.12
23.8;63.1;4.52;4.97
23.8;63;4.79;5.47
23.8;63.1;5.17;4.87
23.6;63;4.54;4.77
23.6;63.2;5.66;4.72
23.5;63.3;6.25;5.12
23.4;63.5;5.63;4.92
23.4;63.5;5.53;5.37
23.4;63.5;5.92;4.77
23.3;63.6;6.21;4.87
23.3;63.7;7.19;4.88
23.3;63.6;7.2;5.17
23.2;63.7;7.18;5.13
23.2;63.7;7.28;5.68
23.2;63.8;7.88;5.14
23.2;63.9;8.18;5.29
23.2;64;9.2;5.26
23.2;64;9.81;5.66
23.2;64;9.43;5.57
23.1;64;9.97;6.18
23.1;64;9.53;5.41
23.1;64.1;9.63;5.57
23.1;64;8.79;5.15
23.1;64;9.39;5.6
23.1;64;8.39;5.4
23;64;8.7;5.96
23;64.1;8.69;5.41
23;64.1;9;5.4
23;64.1;8.58;5.26
23;64;8.78;5.55
23;64.1;7.78;5.29
22.9;64;8.08;5.9
23.1;64.5;8.49;5.36
23.1;64.6;8.59;5.46
23.3;64.5;8.99;5.31
23.3;64.3;11.74;6.11
23.3;64.3;9.22;5.57
23.4;64.5;9.33;6.13
23.4;64.5;6.11;4.92
23.4;64.7;8.38;5.51
23.4;64.7;10.04;5.54
23.4;64.6;10.66;5.88
23.4;64.8;9.64;5.68
23.4;64.9;8.08;6.01
23.3;65;10.39;5.7
23.3;65;11.36;5.97
23.4;65.3;13.62;6.2
23.4;65.4;11.96;6.23
23.3;65.6;9.64;5.8
23.3;65.6;13.59;6.96
23.3;65.7;9.53;5.64
23.3;65.7;13.18;6.4
23.3;66.1;13.62;6.2
23.3;66.6;11.52;6
23.3;66.9;5.63;5.02
23.3;67.1;8.49;6.13
